,Kod stacji,Nazwa stacji,Rok,Średnia temperatura maksymalna [°C],Średnia temperatura minimalna,Minimalna temperatura przy gruncie [°C],Miesieczna suma opadów,Liczba dni z opadem deszczu,Średnia miesięczna wilgotność względna [%]
244,250160360,TARNÓW,2017,23.325,12.075,2.9,64.95,14.0,0.0
245,250160360,TARNÓW,2018,25.2,13.1,4.025,55.625,10.25,0.0
246,250160360,TARNÓW,2019,23.4,11.95,3.275,68.1,14.0,0.0
247,250160360,TARNÓW,2020,21.65,10.875,3.5749999999999997,100.975,16.75,0.0
248,250160360,TARNÓW,2021,22.3,11.35,3.8499999999999996,92.025,17.0,0.0
249,250160360,TARNÓW,2022,23.85,11.925,3.025,82.425,12.75,0.0
250,250180580,DRONIOWICE,2015,24.174999999999997,11.525,1.45,42.8,13.0,67.0
251,250180580,DRONIOWICE,2016,23.65,11.25,0.925,55.425,13.25,72.675
252,250180580,DRONIOWICE,2017,23.375,11.425,1.3499999999999999,78.875,15.25,71.325
253,250180580,DRONIOWICE,2018,25.15,12.125,3.4250000000000003,91.7,12.25,70.55
254,250180580,DRONIOWICE,2019,24.725,11.7,3.75,60.175,13.25,70.325
255,250180580,DRONIOWICE,2020,22.625,10.475000000000001,0.0,90.22500000000001,16.0,74.1
256,250180580,DRONIOWICE,2021,22.925,11.3,0.0,106.425,15.25,74.2
257,250180580,DRONIOWICE,2022,25.025,11.275,0.0,62.225,12.75,69.05
258,250180580,DRONIOWICE,2023,23.9,11.125,3.25,83.75,14.5,69.075
259,250190030,SILNICZKA,2015,24.825,10.025,0.0,50.6,12.75,0.0
260,250190030,SILNICZKA,2016,24.25,9.775,0.0,56.65,13.0,0.0
261,250190030,SILNICZKA,2017,24.45,9.925,0.0,37.875,13.25,0.0
262,250190030,SILNICZKA,2018,25.25,10.725,0.0,75.25,12.0,0.0
263,250190030,SILNICZKA,2019,24.975,11.025,0.0,45.825,12.5,0.0
264,250190160,LGOTA GÓRNA,2015,23.525,11.4,2.5,51.650000000000006,11.0,0.0
265,250190160,LGOTA GÓRNA,2016,22.5,10.325,2.3,79.89999999999999,12.25,0.0
266,250190160,LGOTA GÓRNA,2017,22.8,10.35,2.25,54.775,13.5,0.0
267,250190160,LGOTA GÓRNA,2018,24.2,11.95,2.1,66.975,11.75,0.0
268,250190160,LGOTA GÓRNA,2019,23.575,11.850000000000001,3.85,67.275,12.0,0.0
269,250190160,LGOTA GÓRNA,2020,21.975,10.0,2.575,96.95,13.75,0.0
270,250190160,LGOTA GÓRNA,2021,22.375,10.275,2.475,98.475,13.5,0.0
271,250190160,LGOTA GÓRNA,2022,23.725,10.5,3.475,71.025,11.75,0.0
272,250190160,LGOTA GÓRNA,2023,22.625,11.45,1.675,56.9,9.25,0.0
273,250190390,KRAKÓW-OBSERWATORIUM,2015,25.15,13.6,6.8500000000000005,82.05,10.25,65.025
274,250190390,KRAKÓW-OBSERWATORIUM,2016,24.525,13.225000000000001,6.85,77.3,12.0,68.9
275,250190390,KRAKÓW-OBSERWATORIUM,2017,25.025,13.5,6.4750000000000005,62.975,13.0,66.3
276,250190390,KRAKÓW-OBSERWATORIUM,2018,25.825,14.575,8.425,85.475,12.25,68.1
277,250190390,KRAKÓW-OBSERWATORIUM,2019,25.175,14.100000000000001,7.5,79.125,14.0,67.65
278,250190390,KRAKÓW-OBSERWATORIUM,2020,23.925,12.775,5.9,83.125,16.0,69.2
279,250190390,KRAKÓW-OBSERWATORIUM,2021,24.15,13.125,6.0,150.3,16.75,71.525
280,250190390,KRAKÓW-OBSERWATORIUM,2022,25.875,13.725,7.699999999999999,72.525,11.25,67.975
281,250190390,KRAKÓW-OBSERWATORIUM,2023,24.375,13.225,6.025,80.225,11.75,71.6
282,250190530,KATOWICE PYRZOWICE,2015,24.225,11.2,0.0,13.9,3.5,64.4
283,250200210,MIECHÓW,2015,11.05,5.65,0.0,23.7,4.5,0.0
284,250200220,SIELEC,2015,20.950000000000003,9.600000000000001,1.25,60.599999999999994,14.5,0.0
285,250200230,BORUSOWA,2015,25.025,11.9,2.7,51.4,10.75,0.0
286,250200230,BORUSOWA,2016,24.275,11.55,2.325,57.425,9.5,0.0
287,250200230,BORUSOWA,2017,24.4,12.4,1.675,61.875,11.5,0.0
288,250200230,BORUSOWA,2018,25.85,13.05,2.375,67.45,12.75,0.0
289,250200230,BORUSOWA,2019,24.9,12.6,4.675,77.575,10.75,0.0
290,250200230,BORUSOWA,2020,23.725,11.525,0.09999999999999998,81.75,14.75,0.0
291,250200230,BORUSOWA,2021,23.675,11.925,4.625,129.325,15.75,0.0
292,250200230,BORUSOWA,2022,25.175,12.6,4.075,50.875,10.5,0.0
293,250200230,BORUSOWA,2023,23.975,11.925,2.475,105.9,13.75,0.0
294,250200280,IGOŁOMIA,2015,20.55,10.55,1.7000000000000002,47.3,12.0,0.0
295,250210050,ŚWIĘTY KRZYŻ,2015,21.525,12.075,2.475,54.175,11.0,68.6
296,250210050,ŚWIĘTY KRZYŻ,2016,21.575,11.525,3.35,65.75,13.5,74.475
297,250210050,ŚWIĘTY KRZYŻ,2017,21.975,12.375,2.8,59.15,12.25,73.775
298,250210050,ŚWIĘTY KRZYŻ,2018,22.1,13.875,6.3,88.85,11.0,72.575
299,250210050,ŚWIĘTY KRZYŻ,2019,21.175,12.6,5.7,93.275,12.0,73.1
